"date","geography","geography code","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"2011","Chesterfield","E07000034","Total",47901,4365,10755,27415,5366,25117,1308,2630,16863,4316,22784,3057,8125,10552,1050
"2011","Derbyshire Dales","E07000035","Total",35005,4165,7212,17211,6417,18611,1135,1705,10634,5137,16394,3030,5507,6577,1280
"2011","Erewash","E07000036","Total",54851,4941,10662,33220,6028,28656,1341,2266,20278,4771,26195,3600,8396,12942,1257
"2011","High Peak","E07000037","Total",45618,4506,9187,25807,6118,23889,1300,2146,15688,4755,21729,3206,7041,10119,1363
"2011","North East Derbyshire","E07000038","Total",46858,4553,10088,26288,5929,24646,1247,2240,16400,4759,22212,3306,7848,9888,1170
"2011","South Derbyshire","E07000039","Total",47886,4286,9057,27378,7165,25563,1127,1832,16795,5809,22323,3159,7225,10583,1356
"2011","Blaby","E07000129","Total",48276,4394,9550,28464,5868,25185,1215,1997,17307,4666,23091,3179,7553,11157,1202
"2011","Charnwood","E07000130","Total",79572,8537,15365,45728,9942,42069,2919,3535,27785,7830,37503,5618,11830,17943,2112
"2011","Harborough","E07000131","Total",44079,4643,8317,23853,7266,23324,1299,1862,14368,5795,20755,3344,6455,9485,1471
"2011","Hinckley and Bosworth","E07000132","Total",53774,4741,10194,31446,7393,28426,1331,2033,19226,5836,25348,3410,8161,12220,1557
"2011","Melton","E07000133","Total",26184,2700,4879,14471,4134,13929,758,1014,8883,3274,12255,1942,3865,5588,860
"2011","North West Leicestershire","E07000134","Total",46291,4184,8566,26688,6853,24812,1142,1736,16461,5473,21479,3042,6830,10227,1380
"2011","Oadby and Wigston","E07000135","Total",26399,2711,5496,15392,2800,13712,875,1352,9252,2233,12687,1836,4144,6140,567
"2011","Boston","E07000136","Total",30807,2521,6578,17504,4204,16149,728,1621,10375,3425,14658,1793,4957,7129,779
"2011","East Lindsey","E07000137","Total",56311,5875,12751,28675,9010,29827,1698,3441,17588,7100,26484,4177,9310,11087,1910
"2011","Lincoln","E07000138","Total",44599,5219,9217,25337,4826,23086,1726,2365,15238,3757,21513,3493,6852,10099,1069
"2011","North Kesteven","E07000139","Total",52428,4952,9936,29499,8041,27762,1326,2109,17858,6469,24666,3626,7827,11641,1572
"2011","South Holland","E07000140","Total",41490,3592,7333,23154,7411,22164,945,1565,13616,6038,19326,2647,5768,9538,1373
"2011","South Kesteven","E07000141","Total",66532,6484,12809,37513,9726,34611,1779,2625,22543,7664,31921,4705,10184,14970,2062
"2011","West Lindsey","E07000142","Total",41968,4554,8335,22524,6555,21948,1246,1790,13626,5286,20020,3308,6545,8898,1269
"2011","Corby","E07000150","Total",30688,2053,5557,19783,3295,16204,679,1126,11760,2639,14484,1374,4431,8023,656
"2011","Daventry","E07000151","Total",39536,3965,6962,22055,6554,21029,1117,1469,13266,5177,18507,2848,5493,8789,1377
"2011","East Northamptonshire","E07000152","Total",43417,3928,7489,24899,7101,23281,1061,1433,15113,5674,20136,2867,6056,9786,1427
"2011","Kettering","E07000153","Total",46918,4126,8767,27789,6236,24821,1121,1882,16869,4949,22097,3005,6885,10920,1287
"2011","Northampton","E07000154","Total",106792,9228,19179,65918,12467,55978,2968,4452,38844,9714,50814,6260,14727,27074,2753
"2011","South Northamptonshire","E07000155","Total",45740,4662,7927,25137,8014,24176,1278,1522,15058,6318,21564,3384,6405,10079,1696
"2011","Wellingborough","E07000156","Total",36363,3136,6408,22130,4689,19253,911,1405,13157,3780,17110,2225,5003,8973,909
"2011","Ashfield","E07000170","Total",55336,4598,11188,33452,6098,29158,1219,2357,20571,5011,26178,3379,8831,12881,1087
"2011","Bassetlaw","E07000171","Total",52814,4890,11085,29596,7243,28158,1403,2681,18156,5918,24656,3487,8404,11440,1325
"2011","Broxtowe","E07000172","Total",53185,4867,10323,31897,6098,28063,1460,2473,19417,4713,25122,3407,7850,12480,1385
"2011","Gedling","E07000173","Total",55598,4974,11615,32717,6292,28599,1515,2722,19412,4950,26999,3459,8893,13305,1342
"2011","Mansfield","E07000174","Total",48361,4389,9918,28420,5634,25410,1261,2431,17162,4556,22951,3128,7487,11258,1078
"2011","Newark and Sherwood","E07000175","Total",54555,5585,10907,29967,8096,28999,1596,2625,18196,6582,25556,3989,8282,11771,1514
"2011","Rushcliffe","E07000176","Total",55346,5785,10628,30833,8100,28938,1823,2563,18401,6151,26408,3962,8065,12432,1949
"2011","Herefordshire, County of","E06000019","Total",90237,9236,18633,47448,14920,47975,2628,4372,29127,11848,42262,6608,14261,18321,3072
"2011","Shropshire","E06000051","Total",150748,15327,30934,80791,23696,80881,4307,7367,50364,18843,69867,11020,23567,30427,4853
"2011","Stoke-on-Trent","E06000021","Total",108109,9264,22842,65754,10249,58539,3149,6816,40404,8170,49570,6115,16026,25350,2079
"2011","Telford and Wrekin","E06000020","Total",78372,6637,14513,48181,9041,42122,2093,3337,29563,7129,36250,4544,11176,18618,1912
"2011","Cannock Chase","E07000192","Total",47476,4194,9370,27648,6264,25245,1157,1919,17013,5156,22231,3037,7451,10635,1108
"2011","East Staffordshire","E07000193","Total",54921,5126,10595,31500,7700,29616,1522,2525,19323,6246,25305,3604,8070,12177,1454
